Risk ID,Threat,C,I,A,P,Risk Scenario,Vulnerability,Implemented Control,Likelihood,Impact,Risk Rating,Control Effectiveness,Residual Risk,Risk Owner,Remediation Steps,Risk Severity
1,Unauthorized Access to Physical Data,Yes,Yes,,Yes,An unauthorized person enters the storage room and steals physical contracts or customer data. ,"The storage room is disorganized, has no filing system, and contains physical contracts/sensitive paperwork without a lock-and-key or logging policy.",Use of a storage room to keep items out of the open-plan area.,4,4,3,1,2,Legal Counsel / COO,"Organizational: Conduct a ""Clean Desk"" sweep. Digitize all physical contracts and store them in a secure Document Management System (DMS) with encryption. Physical: Install a lock on the storage room and restrict access to Legal/Admin only.",High
2,Unrestricted Visitor Entry,Yes,,,Yes,"A competitor or malicious actor walks into the main open-plan workspace under the guise of being a ""startup guest."" They could steal laptops left on desks, or plant a hardware keylogger.","The ""open door"" policy and lack of visitor logging in a shared business complex.","There is no mention of a reception desk, a visitor logbook, or a check-in process.",5,3,3,1,2,COO,Process: Implement a mandatory visitor log-in/log-out sheet at the entrance. Physical: Install a basic buzzer/intercom system for the main door so visitors cannot walk in unannounced.,High
3,Server Failure and Data Loss (Environmental),,Yes,Yes,,"Overheating: Without AC, the on-prem servers hosting the platform and database could overheat and fail, leading to a total platform outage and permanent hardware damage. (Environment Exposure: Rain, dust, or humidity)",Broken air-conditioning in the server room and a broken window.,Dedicated Server Room with Special Badge Entry,5,5,5,0,5,CTO,Short-term: Repair the AC immediately and install temperature sensors with SMS alerts.,Critical
4,Theft of High-Value Hardware,Yes,,Yes,Yes,"The broken window provides an easy entry point for a ""smash and grab"" theft of the on-prem servers or call center equipment during the night.",Deferred maintenance (hole in the wall and a broken window) and shared building access.,Special badge entry for C-suite offices and the server room.,3,4,2,2,0,COO,"Technical: Enable ""Full Disk Encryption"" (like BitLocker or FileVault) on all employee laptops so stolen data cannot be read. Physical: Issue Kensington locks for desks in the open-plan area.",High
5,Shoulder Surfing and Eavesdropping,Yes,,,Yes,Executives discussing VC funding requirements or FinHealth API vulnerabilities are overheard by outsiders in the public cafe downstairs.,Open-plan office layout and meetings held in public cafes due to limited meeting space.,2 private meeting rooms available in the office; C-suite has private offices.,5,2,2,1,1,CEO/ COO,"Cultural: Ban ""sensitive"" meetings in the public cafe. Physical: Install privacy filters (screen protectors) on laptops for employees who frequently work from cafes or the open-plan area.",Meduim
6,Compromise of Assets via Public Wi-Fi,Yes,Yes,,Yes,"An attacker in the cafe sets up a ""Twin Evil"" hotspot. An employee connects to it to finish a task, allowing the attacker to intercept sensitive credentials or ""FinHealth"" admin tokens.",Use of free public Wi-Fi in cafes when office internet is slow.,"None. Office internet is slow, so employees are actively encouraged/forced to use public cafe Wi-Fi.",5,5,5,0,5,CTO,Technical: Deploy a Corporate VPN for all staff. Block access to the production database unless connected to the VPN. Hardware: Issue 4G/5G mobile hotspots for employees when office internet is slow.,Critical
7,Insider Threat,Yes,Yes,Yes,Yes,"An employee walks out with the tablets intended for pharmacies or physical backup tapes from the server room. Because there is no mention of an asset exit policy, these items could disappear without a trace.","Lack of internal asset tracking and a ""like family"" culture that may lead to relaxed monitoring of employee behavior.","""Family-like"" culture and informal trust; CTO assigned Secure SDLC reading to developers.",3,4,2,1,1,CTO/ COO,"Technical: Enable ""Full Disk Encryption"" (like BitLocker or FileVault) on all employee laptops so stolen data cannot be read. Physical: Issue Kensington locks for desks in the open-plan area.",High
8,,,,,,,,,,,,,,,,
9,Data Leakage via API Integration,Yes,,,Yes,"Hackers intercept the data transmission between Saydalty and FinHealth, stealing National IDs used for credit checks.",The system transmits sensitive National IDs to a third party (FinHealth) via an API call.,TLS1.2,2,4,2,4,0,CTO,"Implement HMAC Request Signing: Require a unique cryptographic signature for every API call. This ensures that even if a National ID or ""Approval Token"" is intercepted, it cannot be replayed or modified.",High
10,Data Integrity Compromise (Tampering),,Yes,,,"A malicious actor intercepts the API call between Saydalty and FinHealth and alters the ""transaction values"" or the ""approval status token"" to fraudulently approve a rejected installment plan.",The system transmits transaction values and stauts as plain in the headers as a plan text .,TLS1.2,2,5,2,4,0,CTO,,
10,Data Integrity Compromise (Tampering),,Yes,,Yes,A malicious actor intercepts the API call between Saydalty and FinHealth and alters the National ID to make others pay for his medcine.,The system transmits sensitive National IDs to a third party (FinHealth) via an API call.,TLS1.2,2,5,2,4,0,CTO,,
11,Service Disruption (Availability),,,Yes,,"FinHealth's system goes offline or the API fails. Customers cannot choose ""Pay with FinHealth"" at checkout, leading to lost sales.","Reliance on a real-time API call to a single third-party partner for the ""Buy Now, Pay Later"" feature.",None ,5,4,4,0,4,CTO,,
12,Regulatory Non-Compliance(service diruption),,,,Yes,FinHealth violates financial regulations (FRA). Saydalty is held liable or loses its ability to offer installment plans.,Partnering with a regulated fintech entity creates complex compliance requirements that Saydalty must adhere to.,None ,5,5,5,0,5,Legal Counsel,,
13,Unauthorized Access to Order Data,Yes,,,Yes,Pharmacy staff or unauthorized persons access the Saydalty tablet in the pharmacy to view customer order history.,"Physical devices (Tablets) are located in external, uncontrolled environments (pharmacies).",None ,5,5,5,0,5,Ops Manager,,
14,Inventory & Fulfillment Failure,,Yes,,,"A pharmacy accepts an order via the tablet but cannot fulfill it due to stock issues, causing delivery delays.","The fulfillment process depends entirely on the ""closest pharmacy with availability"" accurately reporting their status.",None ,4,4,3,0,3,Ops Manager,,
15,Cryptographic Failer,,Yes,,,Attackers create malicious data matching a legitimate hash  to enable undetected spoofing or tampering.,"Use of SHA-1 Hashing: The platform relies on the SHA-1 algorithm, which is deprecated, cryptographically broken, and vulnerable to collision attacks.",The CTO's SDLC guide is outdated and weakly enforced,3,5,3,2,1,Devloper Team,,
16,Malware / Ransomware Upload,,,Yes,,"A malicious user uploads a ""prescription"" file that is actually a web shell or ransomware payload, compromising the on-premise server.","Unrestricted File Upload: The app allows users to ""upload their prescriptions"" (images/PDFs) but lacks documented antivirus scanning or file type validation",None: No file scanning,4,5,4,0,4,Devloper Team,,
19,Dump the Database ,Yes,,,,Hackers exploit a known vulnerability in the web application or API to dump the database (SQL Injection or IDOR).,Legacy pentesting make a great potential for forgetting filters on user input which makes vulnerbilty exploitable,None ,5,5,5,0,5,Devloper Team,,
20,Exfiltration of Sensitive User Data,Yes,,,,"Attackers exploit network weaknesses to intercept or steal customer data (National IDs, Prescriptions) or financial tokens during transmission or storage.","1-Using AES-128 is less resistant to brute-force than the industry-standard AES-256, posing a risk to sensitive medical and financial data. 
2. Lack of Egress Filtering: No Firewall [User Input] means there are no rules to block outgoing traffic to malicious IP addresses if the server is compromised.
3. Blind Spots: No Traffic Monitoring.4. Insecure Transmission: Employees using public Wi-Fi  to access the app backend exposes credentials and data to Man-in-the-Middle (MitM) attacks.",None ,5,5,5,2,3,,,
22,Service Availability / Denial of Service (DoS),,,Yes,,"Attackers flood the application or API with traffic, rendering it unavailable for customers","1. Network Exposure: No Firewall leaves the application servers completely exposed to the internet, accepting traffic from any source/botnet.
2. No Rate Limiting: Absence of traffic monitoring implies a lack of rate limiting, allowing attackers to overwhelm the login or checkout processes.Single Point of Failure: Servers are hosted on-prem.",None ,5,4,4,1,3,,,
23,Unauthorized Access to Backend/Admin Panel,Yes,Yes,,,"An attacker gains administrative access to the Saydalty platform, allowing them to view all customer data, alter inventory, or manipulate order statuses.","1. Network Visibility: No Firewall [User Input] means the admin login portals may be exposed to the public internet.
2. Credential Theft: Employees working from public Wi-Fi  increases the risk of admin session hijacking.",None ,4,5,4,2,2,,,
24,Malware / Ransomware Infection,,Yes,Yes,,"Malicious software is introduced into the Saydalty network, encrypting data (ransomware) or corrupting the database.","1. Undetected Command & Control: No Traffic Monitoring.
2. Outdated Controls: Reliance on ""legacy practices""  suggests a lack of modern Endpoint Detection and Response (EDR) on the servers.",None ,5,5,5,1,4,,,
