ISO 27001:2022 Annex A Control,Control Name,NIST CSF v2.0 Function / Category,PCI DSS v4.0 Control (with brief),Control Description (Banking Context),Typical Required Evidence,,,,,ISO 27001 Clause,Clause Name,NIST CSF v2 Mapping ,PCI DSS v4.0 Mapping,Clause Description (Banking Context),Typical Required Evidence
A.5.1,Policies for information security,GV.PO – Policy & Governance (establish governance structure),Req. 12 – Define security responsibilities and scope (Establish and maintain board-approved information security policies),"Establishes board-approved information security policies governing banking operations, digital channels, and third parties","Approved ISMS policy, Board minutes, policy review records",,,,,4.1,Understanding the organization and its context,"GV.OC – Organizational Context (understand mission, regulatory landscape, risk environment)",Req. 12 – Define security responsibilities and scope,"Bank identifies internal/external issues such as regulatory obligations, threat landscape, digital banking risks","Context analysis, regulatory landscape document"
A.5.7,Threat intelligence,ID.RA – Risk Assessment (identify and analyze risks),Req. 12.3.2 (Identify sector-specific threats and vulnerabilities),"Identifies financial-sector threats (fraud, APTs, ransomware, SWIFT threats)","Threat intel feeds, SOC reports, risk updates",,,,,4.2,Understanding needs and expectations of interested parties,GV.OC – Stakeholder expectations (identify stakeholders and their requirements),Req. 12 – Identify external obligations,"Identifies regulators, customers, payment schemes, partners, and their security expectations","Stakeholder register, compliance obligations matrix"
A.5.8,Information security in project management,GV.RM – Risk Management Strategy (set measurable objectives),Req. 6.3.2 (Embed security into development and projects),"Ensures security is embedded in core banking, mobile apps, and payment system projects","Secure SDLC documents, project risk assessments",,,,,4.3,Determining the scope of the ISMS,GV.SC – Supply Chain & Scope (define boundaries and dependencies),Req. 12.1 – Define scope of compliance,"Defines scope covering core banking, digital channels, payment systems, vendors","ISMS scope statement, network diagrams"
A.5.19,Information security in supplier relationships,GV.SC – Supply Chain & Scope (define boundaries and dependencies),Req. 12.8 (Manage third-party risks),"Manages risks from fintechs, cloud providers, payment processors","Vendor risk assessments, contracts, SLAs",,,,,4.4,Information security management system,GV.PO – Policy & Governance (establish governance structure),Req. 12 – Maintain an information security program,Establishes ISMS framework governing all banking information assets,"ISMS manual, process interaction diagrams"
A.5.23,Information security for use of cloud services,PR.DS – Data Security (CIA),"Req. 12.3, 12.8 (Protect cloud workloads and manage cloud risks)",Protects banking workloads hosted on public/private cloud,"Cloud risk assessments, shared responsibility matrix",,,,,5.1,Leadership and commitment,GV.OV – Oversight (senior leadership accountability),Req. 12.4 – Assign security responsibilities,Board and executive management actively sponsor information security,"Board minutes, security steering committee records"
A.6.1,Screening,GV.RR – Roles & Responsibilities (clear accountability),Req. 12.7 (Perform personnel background verification),Background verification of bank employees and contractors,"HR screening records, background check confirmations",,,,,5.2,Information security policy,"GV.PO – Policy (documented, approved policies)",Req. 12.1 – Establish and maintain security policies,High-level security policy guiding bank-wide controls,"Approved policy, policy review evidence"
A.6.3,"Information security awareness, education and training",PR.AT – Awareness & Training (ensure skilled workforce),Req. 12.6 (Train personnel on security and awareness),"Trains staff on phishing, fraud, data privacy, and insider risk","Training attendance logs, phishing simulation results",,,,,5.3,"Organizational roles, responsibilities and authorities",GV.RR – Roles & Responsibilities (clear accountability),Req. 12.4 – Define and assign responsibilities,"Defines CISO, SOC, risk owners, data owners","RACI matrix, job descriptions"
A.8.1,User endpoint devices,PR.AT – Awareness & Training (ensure skilled workforce),"Req. 2, 5 (Secure systems and protect against malware)",Secures employee laptops used for banking operations,"Endpoint hardening standards, EDR reports",,,,,6.1,Actions to address risks and opportunities,ID.RA – Risk Assessment (identify and analyze risks),Req. 12.2 – Perform risk assessments,"Bank identifies cyber, fraud, operational, and regulatory risks","Risk assessment reports, risk register"
A.8.2,Privileged access rights,"PR.AA – Identity Management, Authentication, and Access Control (access to physical and logical assets is limited)","Req. 7, 8 (Control access and enforce authentication)","Controls admin access to core banking, databases, SWIFT, payment systems","PAM logs, access approval records",,,,,6.2,Information security objectives and planning,GV.RM – Risk Management Strategy (set measurable objectives),Req. 12 – Define security goals,Establishes measurable security objectives aligned with business goals,"Security KPIs, objectives tracking"
